stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"1100008","Zell (Wiesental), Wilder Mann","47.71008427","7.85964788","","Parent1100008"
"1100009","Zell (Wiesental), Grönland","47.71319110","7.86290877","","Parent1100009"
"1100010","Atzenbach","47.71461752","7.87235006","","Parent1100010"
"1100011","Mambach, Brücke","47.72820888","7.87747046","","Parent1100011"
"1100012","Mambach, Mühlschau","47.73408186","7.88138711","","Parent1100012"
"1100013","Mambach, Silbersau","47.73951922","7.88223153","","Parent1100013"
"1100014","Fröhnd (Schwarzw), Wühre","47.75436635","7.88913059","","Parent1100014"
"1100015","Fröhnd (Schwarzw), Unterkastel","47.76059266","7.88553733","","Parent1100015"
"1100016","Wembach (Baden)","47.77283176","7.88772023","","Parent1100016"
"1100017","Schönau (Schw), Brand","47.77745614","7.89219384","","Parent1100017"
"1100018","Schönau (Schw), Zentrum","47.78620875","7.89383776","","Parent1100018"
"1100019","Schönau (Schw), Friedhof","47.78964299","7.89809578","","Parent1100019"
"1100020","Schönau (Schw), Schönenbuchen","47.79362618","7.90221904","","Parent1100020"
"1100021","Aitern, Abzweigung","47.79742803","7.90470738","","Parent1100021"
"1100022","Utzenfeld, Reiterhof","47.79959436","7.90894742","","Parent1100022"
"1100023","Utzenfeld, Wiese","47.80151321","7.91649327","","Parent1100023"
"1100024","Utzenfeld, Engel","47.80243037","7.92187418","","Parent1100024"
"1100025","Geschwend (Baden), Mättlestr.","47.80389055","7.93667842","","Parent1100025"
"1100026","Geschwend (Baden), Unterdorf","47.80613504","7.93714554","","Parent1100026"
"1100027","Schlechtnau","47.81822468","7.93912183","","Parent1100027"
"1100028","Todtnau, Busbahnhof","47.82862892","7.94193356","","Parent1100028"
"1100029","Todtnau, Schönauerstrasse","47.82914757","7.94670362","","Parent1100029"
"1100030","Todtnau, Poche","47.83200609","7.96007953","","Parent1100030"
"1100031","Brandenberg (D), Siedlung","47.83671565","7.97257510","","Parent1100031"
"1100032","Brandenberg (D), Hirschen","47.84270903","7.97471309","","Parent1100032"
"1100033","Brandenberg (D), Wiesenstrasse","47.84484936","7.98182774","","Parent1100033"
"1100034","Fahl, Lawine","47.85251762","7.99623672","","Parent1100034"
"1100035","Fahl, Skilift","47.85641161","8.00476173","","Parent1100035"
"1100036","Fahl, Todtnauerhütte","47.85858150","7.99809623","","Parent1100036"
"1100037","Feldberg, Hebelhof","47.85659244","8.02769572","","Parent1100037"
"1100038","Feldberg, Feldbergerhof","47.86055844","8.03583446","","Parent1100038"
"1100039","Feldberg, Caritas-Haus","47.85848507","8.05270482","","Parent1100039"
"1100040","Feldberg, Kohlplatz","47.86128169","8.06807499","","Parent1100040"
"1100041","Bärental, Altes Rathaus","47.87049020","8.09094610","","Parent1100041"
"1100043","Bärental, Bahnhofstrasse","47.87020698","8.09685702","","Parent1100043"
"1100044","Bärental, Bären","47.87165923","8.09376681","","Parent1100044"
"1100045","Bärental, Behabühl","47.87417194","8.09961484","","Parent1100045"
"1100046","Bärental, Löffelschmiede","47.87866681","8.10792426","","Parent1100046"
"1100047","Hinterzarten, Heizmannshof","47.88821559","8.12200086","","Parent1100047"
"1100048","Titisee, Feuerwehrheim","47.88876377","8.12924128","","Parent1100048"
"1100049","Titisee, Abzw. Bühlhof","47.89478727","8.14066785","","Parent1100049"
"1100050","Titisee, Freibad","47.89934057","8.14525824","","Parent1100050"
"1100051","Titisee, Kurhaus","47.90085825","8.15021694","","Parent1100051"
"1100052","Titisee, Bahnhof","47.90281551","8.15512174","","Parent1100052"
"1100053","Todtnau, Sonnhalde","47.83405640","7.93820555","","Parent1100053"
"1100054","Aftersteg","47.84262462","7.92925833","","Parent1100054"
"1100055","Todtnauberg, Hangloch","47.84537387","7.93748690","","Parent1100055"
"1100056","Todtnauberg, Sternen","47.84962407","7.93888827","","Parent1100056"
"1100057","Todtnauberg, Rathaus","47.85180631","7.94109813","","Parent1100057"
"1100058","Muggenbrunn, Grüner Baum","47.85747849","7.91768803","","Parent1100058"
"1100059","Muggenbrunn, Säge","47.86492190","7.91700531","","Parent1100059"
"1100060","Halde, Notschrei","47.87588317","7.91030388","","Parent1100060"
"1100061","Halde, Haldenköpfle","47.88518548","7.89583202","","Parent1100061"
"1100062","Halde, Schauinsland","47.89081786","7.89224774","","Parent1100062"
"1100063","Hofsgrund, Plätzle","47.89920205","7.89714356","","Parent1100063"
"1100064","Hofsgrund, Hof","47.90237588","7.90049428","","Parent1100064"
